id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
401112432,2019,1,regular,2019-08-31T16:00:00.000Z,,NC State,ACC,East Carolina,American Athletic,tv,ACCN
401110724,2019,1,regular,2019-08-31T16:00:00.000Z,,Kentucky,SEC,Toledo,Mid-American,tv,SECN
401110726,2019,1,regular,2019-08-31T16:00:00.000Z,,Memphis,American Athletic,Ole Miss,SEC,tv,ABC
401110727,2019,1,regular,2019-08-31T16:00:00.000Z,,Louisiana,Sun Belt,Mississippi State,SEC,tv,ESPNU
401112201,2019,1,regular,2019-08-31T16:00:00.000Z,,Maryland,Big Ten,Howard,,tv,BTN
401119259,2019,1,regular,2019-08-31T18:00:00.000Z,,Ohio,Mid-American,Rhode Island,,web,ESPN+
401117859,2019,1,regular,2019-08-31T19:00:00.000Z,,Temple,American Athletic,Bucknell,,web,ESPN3
401117494,2019,1,regular,2019-08-31T19:30:00.000Z,,Air Force,Mountain West,Colgate,,web,ESPN3
401117857,2019,1,regular,2019-08-31T19:30:00.000Z,,Navy,American Athletic,Holy Cross,,tv,CBSSN
401119256,2019,1,regular,2019-08-31T19:30:00.000Z,,Coastal Carolina,Sun Belt,Eastern Michigan,Mid-American,web,ESPN+
401110729,2019,1,regular,2019-08-31T19:30:00.000Z,,North Carolina,ACC,South Carolina,SEC,tv,ESPN
401110730,2019,1,regular,2019-08-31T19:30:00.000Z,,Tennessee,SEC,Georgia State,Sun Belt,tv,ESPNU
401121934,2019,1,regular,2019-08-31T19:30:00.000Z,,Appalachian State,Sun Belt,East Tennessee State,,web,ESPN+
401110721,2019,1,regular,2019-08-31T20:00:00.000Z,,Arkansas,SEC,Portland State,,tv,SECN
401112435,2019,1,regular,2019-08-31T20:00:00.000Z,,Boston College,ACC,Virginia Tech,ACC,tv,ACCN
401114245,2019,1,regular,2019-08-31T22:00:00.000Z,,UT San Antonio,Conference USA,Incarnate Word,,web,ESPN3
401121935,2019,1,regular,2019-08-31T22:00:00.000Z,,Troy,Sun Belt,Campbell,,web,ESPN+
401114174,2019,1,regular,2019-08-31T22:30:00.000Z,,California,Pac-12,UC Davis,,tv,PAC12
401114242,2019,1,regular,2019-08-31T23:00:00.000Z,,Old Dominion,Conference USA,Norfolk State,,web,ESPN3
401114243,2019,1,regular,2019-08-31T23:00:00.000Z,,Southern Mississippi,Conference USA,Alcorn State,,web,ESPN+
401119257,2019,1,regular,2019-08-31T23:00:00.000Z,,Northern Illinois,Mid-American,Illinois State,,web,ESPN+
401119258,2019,1,regular,2019-08-31T23:00:00.000Z,,Western Michigan,Mid-American,Monmouth,,web,ESPN3
401117858,2019,1,regular,2019-08-31T23:00:00.000Z,,Arkansas State,Sun Belt,SMU,American Athletic,web,ESPN+
401112106,2019,1,regular,2019-08-31T23:00:00.000Z,,Kansas State,Big 12,Nicholls,,web,ESPN+
401112073,2019,1,regular,2019-08-31T23:00:00.000Z,,Baylor,Big 12,Stephen F. Austin,,web,ESPN+
401110728,2019,1,regular,2019-08-31T23:30:00.000Z,,Wyoming,Mountain West,Missouri,SEC,tv,CBSSN
401112433,2019,1,regular,2019-08-31T23:30:00.000Z,,Pittsburgh,ACC,Virginia,ACC,tv,ACCN
401114241,2019,1,regular,2019-08-31T23:30:00.000Z,,North Texas,Conference USA,Abilene Christian,,web,ESPN+
401114244,2019,1,regular,2019-09-01T00:00:00.000Z,,UTEP,Conference USA,Houston Baptist,,web,ESPN+
401128468,2019,1,regular,2019-09-01T00:00:00.000Z,,Louisiana Monroe,Sun Belt,Grambling,,web,ESPN3
401114218,2019,1,regular,2019-09-01T02:30:00.000Z,,USC,Pac-12,Fresno State,Mountain West,tv,ESPN
401112114,2019,1,regular,2019-09-01T23:30:00.000Z,,Oklahoma,Big 12,Houston,American Athletic,tv,ABC
401112436,2019,1,regular,2019-09-03T00:00:00.000Z,,Louisville,ACC,Notre Dame,FBS Independents,tv,ESPN
401114251,2019,2,regular,2019-09-07T01:00:00.000Z,,Boise State,Mountain West,Marshall,Conference USA,tv,ESPN2
401112437,2019,2,regular,2019-09-07T00:00:00.000Z,,Virginia,ACC,William & Mary,,tv,ACCN
401112447,2019,2,regular,2019-09-07T00:00:00.000Z,,Rice,Conference USA,Wake Forest,ACC,tv,CBSSN
