gameId,week,team,opponent,offense.plays,offense.drives,offense.ppa,offense.totalPPA,offense.successRate,offense.explosiveness,offense.powerSuccess,offense.stuffRate,offense.lineYards,offense.lineYardsTotal,offense.secondLevelYards,offense.secondLevelYardsTotal,offense.openFieldYards,offense.openFieldYardsTotal,offense.standardDowns.ppa,offense.standardDowns.successRate,offense.standardDowns.explosiveness,offense.passingDowns.ppa,offense.passingDowns.successRate,offense.passingDowns.explosiveness,offense.rushingPlays.ppa,offense.rushingPlays.totalPPA,offense.rushingPlays.successRate,offense.rushingPlays.explosiveness,offense.passingPlays.ppa,offense.passingPlays.totalPPA,offense.passingPlays.successRate,offense.passingPlays.explosiveness,defense.plays,defense.drives,defense.ppa,defense.totalPPA,defense.successRate,defense.explosiveness,defense.powerSuccess,defense.stuffRate,defense.lineYards,defense.lineYardsTotal,defense.secondLevelYards,defense.secondLevelYardsTotal,defense.openFieldYards,defense.openFieldYardsTotal,defense.standardDowns.ppa,defense.standardDowns.successRate,defense.standardDowns.explosiveness,defense.passingDowns.ppa,defense.passingDowns.successRate,defense.passingDowns.explosiveness,defense.rushingPlays.ppa,defense.rushingPlays.totalPPA,defense.rushingPlays.successRate,defense.rushingPlays.explosiveness,defense.passingPlays.ppa,defense.passingPlays.totalPPA,defense.passingPlays.successRate,defense.passingPlays.explosiveness
401110720,1,Alabama,Duke,58,10,0.48336645143546736,28.03525418325711,0.6206896551724138,1.1700654305665814,0.5,0.2692307692307692,2.430769230769231,63,0.8461538461538461,22,0.5384615384615384,14,0.3984093795356293,0.6,1.1467201481530127,0.7774486233964452,0.6923076923076923,1.2401012778072882,-0.02714070951434985,-0.705658447373096,0.46153846153846156,0.7818077929389647,0.8981535197071939,28.740912630630206,0.75,1.3641942493803898,40,8,-0.1912666820277787,-7.650667281111148,0.225,1.1928252117497111,0,0.19047619047619047,3.2285714285714286,68,0.7619047619047619,16,0.38095238095238093,8,-0.4138465580501831,0.25,0.8300526770078692,0.14260313200582792,0.1875,1.9183702812333945,-0.2583169301160373,-5.424655532436783,0.23809523809523808,0.7482267575812365,-0.07708200379917594,-1.387476068385167,0.16666666666666666,2.610942932710138
401110720,1,Duke,Alabama,40,8,-0.1912666820277787,-7.650667281111148,0.225,1.1928252117497111,0,0.19047619047619047,3.2285714285714286,68,0.7619047619047619,16,0.38095238095238093,8,-0.4138465580501831,0.25,0.8300526770078692,0.14260313200582792,0.1875,1.9183702812333945,-0.2583169301160373,-5.424655532436783,0.23809523809523808,0.7482267575812365,-0.07708200379917594,-1.387476068385167,0.16666666666666666,2.610942932710138,58,10,0.48336645143546736,28.03525418325711,0.6206896551724138,1.1700654305665814,0.5,0.2692307692307692,2.430769230769231,63,0.8461538461538461,22,0.5384615384615384,14,0.3984093795356293,0.6,1.1467201481530127,0.7774486233964452,0.6923076923076923,1.2401012778072882,-0.02714070951434985,-0.705658447373096,0.46153846153846156,0.7818077929389647,0.8981535197071939,28.740912630630206,0.75,1.3641942493803898
401110721,1,Arkansas,Portland State,79,12,0.1309124768284187,10.342085669445076,0.4430379746835443,1.1110095415421464,1,0.0975609756097561,3.553658536585366,146,1.2682926829268293,52,0.9512195121951219,39,0.1168617509325064,0.48148148148148145,0.9464838078182252,0.16126204476358924,0.36,1.5863061056334744,0.21841076625947894,8.954841416638637,0.4634146341463415,0.9774216464560191,0.07620810450444318,2.7434917621599544,0.3888888888888889,1.5478978700474482,63,11,0.03453401995417019,2.175643257112722,0.2857142857142857,1.5858724027879574,1,0.13636363636363635,2.7636363636363637,61,1.2272727272727273,27,1.8181818181818181,40,-0.16766630516658437,0.30303030303030304,1.070607532110129,0.25695437758700024,0.26666666666666666,2.229953491135243,0.13566323034724598,2.9845910676394114,0.22727272727272727,1.9163036088886454,-0.061246277736503686,-2.3886048317236437,0.28205128205128205,1.5804116531402774
401110721,1,Portland State,Arkansas,63,11,0.03453401995417019,2.175643257112722,0.2857142857142857,1.5858724027879574,1,0.13636363636363635,2.7636363636363637,61,1.2272727272727273,27,1.8181818181818181,40,-0.16766630516658437,0.30303030303030304,1.070607532110129,0.25695437758700024,0.26666666666666666,2.229953491135243,0.13566323034724598,2.9845910676394114,0.22727272727272727,1.9163036088886454,-0.061246277736503686,-2.3886048317236437,0.28205128205128205,1.5804116531402774,79,12,0.1309124768284187,10.342085669445076,0.4430379746835443,1.1110095415421464,1,0.0975609756097561,3.553658536585366,146,1.2682926829268293,52,0.9512195121951219,39,0.1168617509325064,0.48148148148148145,0.9464838078182252,0.16126204476358924,0.36,1.5863061056334744,0.21841076625947894,8.954841416638637,0.4634146341463415,0.9774216464560191,0.07620810450444318,2.7434917621599544,0.3888888888888889,1.5478978700474482
401110722,1,Auburn,Oregon,77,14,0.04531280059868451,3.489085646098707,0.44155844155844154,1.0994505197297808,0.875,0.21428571428571427,2.9,122,1.0714285714285714,45,1.4047619047619049,59,0.15400355199353039,0.49019607843137253,1.1673329685847733,-0.16788828867582084,0.34615384615384615,0.9108881617992461,0.19003357001208662,7.981409940507638,0.5238095238095238,0.907262202190951,-0.12007931756566703,-3.962617479667012,0.30303030303030304,1.7951256037353547,67,14,0.11942066134569101,8.001184310161298,0.34328358208955223,1.2206562684187554,0.6666666666666666,0.18518518518518517,2.1555555555555554,58,0.5185185185185185,14,0.25925925925925924,7,-0.02285155983798099,0.3469387755102041,1.0657943983853437,0.5067172634567981,0.3333333333333333,1.6594315668467556,-0.04052860055283988,-1.0942722149266768,0.2962962962962963,1.0548666033588405,0.22738641312719937,9.095456525087975,0.375,1.3090774231173767
401110722,1,Oregon,Auburn,67,14,0.11942066134569101,8.001184310161298,0.34328358208955223,1.2206562684187554,0.6666666666666666,0.18518518518518517,2.1555555555555554,58,0.5185185185185185,14,0.25925925925925924,7,-0.02285155983798099,0.3469387755102041,1.0657943983853437,0.5067172634567981,0.3333333333333333,1.6594315668467556,-0.04052860055283988,-1.0942722149266768,0.2962962962962963,1.0548666033588405,0.22738641312719937,9.095456525087975,0.375,1.3090774231173767,77,14,0.04531280059868451,3.489085646098707,0.44155844155844154,1.0994505197297808,0.875,0.21428571428571427,2.9,122,1.0714285714285714,45,1.4047619047619049,59,0.15400355199353039,0.49019607843137253,1.1673329685847733,-0.16788828867582084,0.34615384615384615,0.9108881617992461,0.19003357001208662,7.981409940507638,0.5238095238095238,0.907262202190951,-0.12007931756566703,-3.962617479667012,0.30303030303030304,1.7951256037353547
401110723,1,Florida,Miami,54,13,0.21461745215625977,11.589342416438027,0.3888888888888889,1.4723580809051517,1,0.28,1.988,50,0.72,18,0.28,7,0.197455086472049,0.4444444444444444,1.4349647397948586,0.24894218352468125,0.2777777777777778,1.5920167724580896,0.030345659777964006,0.7586414944491001,0.32,1.2220744173212925,0.40819793301628254,11.42954212445591,0.42857142857142855,1.8118137969087356,68,11,-0.038480052489813156,-2.616643569307295,0.29411764705882354,1.5813451761030248,0.5,0.3333333333333333,2.0814814814814815,56,1,27,2.4814814814814814,67,-0.2741520039944875,0.3142857142857143,1.2925170159702632,0.21147504759090208,0.2727272727272727,1.9343573718208449,-0.03201672317884608,-0.8644515258288442,0.25925925925925924,1.571991962975741,-0.048379914024319966,-1.8868166469484788,0.28205128205128205,1.8625759252509348
401110723,1,Miami,Florida,68,11,-0.038480052489813156,-2.616643569307295,0.29411764705882354,1.5813451761030248,0.5,0.3333333333333333,2.0814814814814815,56,1,27,2.4814814814814814,67,-0.2741520039944875,0.3142857142857143,1.2925170159702632,0.21147504759090208,0.2727272727272727,1.9343573718208449,-0.03201672317884608,-0.8644515258288442,0.25925925925925924,1.571991962975741,-0.048379914024319966,-1.8868166469484788,0.28205128205128205,1.8625759252509348,54,13,0.21461745215625977,11.589342416438027,0.3888888888888889,1.4723580809051517,1,0.28,1.988,50,0.72,18,0.28,7,0.197455086472049,0.4444444444444444,1.4349647397948586,0.24894218352468125,0.2777777777777778,1.5920167724580896,0.030345659777964006,0.7586414944491001,0.32,1.2220744173212925,0.40819793301628254,11.42954212445591,0.42857142857142855,1.8118137969087356
401110724,1,Kentucky,Toledo,63,15,0.2570116760726773,16.191735592578667,0.49206349206349204,1.201269204076018,0.375,0.34210526315789475,2.289473684210526,87,1.0789473684210527,41,1.6842105263157896,64,0.2066132155341954,0.56,1.0284941994595909,0.4508519089129921,0.23076923076923078,2.8138359138293376,0.08479292330459136,3.2221310855744716,0.5,0.9308051696259605,0.5310938573192127,12.746252575661103,0.4583333333333333,1.7573359247382017,64,14,0.19257284972292504,12.324662382267203,0.34375,1.5155402808197191,1,0.058823529411764705,4.020588235294118,137,1.4705882352941175,50,0.9705882352941176,33,-0.010722595692659351,0.3170731707317073,1.3624721648824727,0.5549690785072277,0.391304347826087,1.7366386705068528,0.3312364215391022,11.262038332329476,0.35294117647058826,1.3518119521269298,-0.0028199363941385515,-0.081778155430018,0.3103448275862069,1.7750822830158797
401110724,1,Toledo,Kentucky,64,14,0.19257284972292504,12.324662382267203,0.34375,1.5155402808197191,1,0.058823529411764705,4.020588235294118,137,1.4705882352941175,50,0.9705882352941176,33,-0.010722595692659351,0.3170731707317073,1.3624721648824727,0.5549690785072277,0.391304347826087,1.7366386705068528,0.3312364215391022,11.262038332329476,0.35294117647058826,1.3518119521269298,-0.0028199363941385515,-0.081778155430018,0.3103448275862069,1.7750822830158797,63,15,0.2570116760726773,16.191735592578667,0.49206349206349204,1.201269204076018,0.375,0.34210526315789475,2.289473684210526,87,1.0789473684210527,41,1.6842105263157896,64,0.2066132155341954,0.56,1.0284941994595909,0.4508519089129921,0.23076923076923078,2.8138359138293376,0.08479292330459136,3.2221310855744716,0.5,0.9308051696259605,0.5310938573192127,12.746252575661103,0.4583333333333333,1.7573359247382017
