season,team,conference,statName,statValue
2019,Ohio,Mid-American,sacks,26
2019,Michigan State,Big Ten,turnovers,24
2019,Navy,American Athletic,passCompletions,55
2019,Washington State,Pac-12,tacklesForLoss,84
2019,Illinois,Big Ten,tacklesForLoss,125
2019,Eastern Michigan,Mid-American,penaltyYards,531
2019,California,Pac-12,turnovers,13
2019,Oklahoma State,Big 12,passesIntercepted,12
2019,Memphis,American Athletic,rushingTDs,32
2019,Auburn,SEC,puntReturns,24
2019,Texas A&M,SEC,passesIntercepted,10
2019,Louisiana Tech,Conference USA,rushingTDs,27
2019,Memphis,American Athletic,fumblesLost,9
2019,Georgia,SEC,totalYards,5713
2019,Louisiana,Sun Belt,rushingTDs,42
2019,Notre Dame,FBS Independents,rushingAttempts,472
2019,Tulsa,American Athletic,fourthDownConversions,13
2019,Troy,Sun Belt,fumblesLost,7
2019,Michigan,Big Ten,passingTDs,25
2019,Western Michigan,Mid-American,possessionTime,23655
2019,Ole Miss,SEC,turnovers,14
2019,Louisville,ACC,possessionTime,24347
2019,Miami (OH),Mid-American,passesIntercepted,11
2019,Old Dominion,Conference USA,passesIntercepted,9
2019,North Carolina,ACC,kickReturns,24
2019,Texas A&M,SEC,rushingAttempts,429
2019,Liberty,FBS Independents,games,13
2019,San Diego State,Mountain West,rushingTDs,12
2019,Oregon,Pac-12,interceptionTDs,2
2019,North Carolina,ACC,passesIntercepted,14
2019,Rice,Conference USA,rushingAttempts,433
2019,New Mexico State,FBS Independents,possessionTime,19576
2019,Florida,SEC,thirdDowns,158
2019,Hawai'i,Mountain West,kickReturnTDs,0
2019,Rice,Conference USA,games,12
2019,Houston,American Athletic,passingTDs,19
2019,Vanderbilt,SEC,totalYards,3560
2019,East Carolina,American Athletic,passAttempts,451
2019,Houston,American Athletic,passesIntercepted,8
2019,Navy,American Athletic,interceptionYards,57
2019,Colorado,Pac-12,totalYards,4662
2019,Michigan,Big Ten,interceptionTDs,0
2019,Arizona State,Pac-12,kickReturnTDs,0
2019,Nebraska,Big Ten,interceptionYards,177
2019,Nevada,Mountain West,penaltyYards,772
2019,Auburn,SEC,interceptions,6
2019,Pittsburgh,ACC,fourthDowns,17
2019,Western Kentucky,Conference USA,penalties,53
2019,UTEP,Conference USA,kickReturns,31
2019,Missouri,SEC,sacks,25
2019,Southern Mississippi,Conference USA,turnovers,26
2019,Georgia State,Sun Belt,penaltyYards,557
2019,Clemson,ACC,fourthDowns,12
2019,Fresno State,Mountain West,fourthDowns,13
2019,USC,Pac-12,puntReturnYards,112
2019,Notre Dame,FBS Independents,passAttempts,416
2019,Duke,ACC,interceptionYards,88
2019,Missouri,SEC,netPassingYards,2671
2019,LSU,SEC,fourthDownConversions,7
2019,Ole Miss,SEC,passCompletions,186
2019,East Carolina,American Athletic,passesIntercepted,11
2019,Oregon State,Pac-12,passCompletions,260
2019,Purdue,Big Ten,thirdDowns,181
2019,West Virginia,Big 12,passingTDs,21
2019,USC,Pac-12,interceptionYards,81
2019,Louisiana Tech,Conference USA,kickReturns,36
2019,Minnesota,Big Ten,passesIntercepted,14
2019,Duke,ACC,possessionTime,20898
2019,Southern Mississippi,Conference USA,passesIntercepted,10
2019,Wake Forest,ACC,passCompletions,282
2019,USC,Pac-12,rushingYards,1540
2019,Florida Atlantic,Conference USA,rushingAttempts,551
2019,Florida State,ACC,passingTDs,24
2019,Boise State,Mountain West,kickReturnTDs,1
2019,Duke,ACC,firstDowns,224
2019,Illinois,Big Ten,puntReturnYards,119
2019,Utah,Pac-12,interceptions,4
2019,Wisconsin,Big Ten,interceptionTDs,2
2019,Miami,ACC,kickReturnTDs,0
2019,Liberty,FBS Independents,penaltyYards,801
2019,Clemson,ACC,totalYards,7931
2019,Oklahoma,Big 12,passCompletions,262
2019,Kansas State,Big 12,fumblesRecovered,6
2019,Maryland,Big Ten,rushingTDs,23
2019,Louisville,ACC,rushingAttempts,567
2019,Tulane,American Athletic,thirdDowns,181
2019,South Florida,American Athletic,sacks,30
2019,Syracuse,ACC,thirdDownConversions,78
2019,Kansas State,Big 12,interceptions,5
2019,Georgia Southern,Sun Belt,passingTDs,9
2019,Iowa State,Big 12,passCompletions,315
2019,Colorado State,Mountain West,thirdDowns,169
2019,Southern Mississippi,Conference USA,fourthDowns,17
2019,Florida Atlantic,Conference USA,penaltyYards,852
2019,Louisiana Tech,Conference USA,tacklesForLoss,115
2019,Oregon,Pac-12,puntReturnTDs,0
2019,UMass,FBS Independents,interceptions,16
2019,Marshall,Conference USA,penalties,75
2019,Western Kentucky,Conference USA,fumblesLost,9
2019,Vanderbilt,SEC,interceptionTDs,1
2019,BYU,FBS Independents,penalties,79
2019,Virginia Tech,ACC,kickReturns,28
2019,Arkansas,SEC,possessionTime,20031
2019,Syracuse,ACC,interceptions,7
2019,Colorado,Pac-12,thirdDowns,179
2019,Wisconsin,Big Ten,thirdDownConversions,91
2019,Utah,Pac-12,penalties,103
2019,TCU,Big 12,puntReturnYards,319
2019,Oklahoma,Big 12,sacks,43
2019,Oregon,Pac-12,turnovers,11
2019,Syracuse,ACC,rushingAttempts,501
2019,UCLA,Pac-12,penaltyYards,663
2019,Oregon,Pac-12,penalties,84
2019,Oklahoma,Big 12,firstDowns,348
2019,Tennessee,SEC,interceptions,13
2019,Central Michigan,Mid-American,interceptionTDs,0
2019,Oregon,Pac-12,fumblesRecovered,7
2019,New Mexico,Mountain West,passAttempts,331
2019,Colorado,Pac-12,passCompletions,257
2019,Toledo,Mid-American,interceptions,7
2019,Texas Tech,Big 12,thirdDowns,178
2019,Rutgers,Big Ten,sacks,23
2019,Texas State,Sun Belt,fourthDowns,13
2019,Bowling Green,Mid-American,firstDowns,204
2019,UCLA,Pac-12,totalYards,4868
2019,TCU,Big 12,kickReturns,33
2019,Houston,American Athletic,puntReturns,17
2019,Eastern Michigan,Mid-American,games,13
2019,Ball State,Mid-American,kickReturnYards,948
2019,Louisiana Tech,Conference USA,passAttempts,458
2019,Army,FBS Independents,interceptionTDs,0
2019,Louisville,ACC,sacks,38
2019,Stanford,Pac-12,penaltyYards,591
2019,UTEP,Conference USA,kickReturnYards,630
2019,Tennessee,SEC,passingTDs,19
2019,Notre Dame,FBS Independents,kickReturnTDs,0
2019,Wake Forest,ACC,possessionTime,23609
2019,Notre Dame,FBS Independents,kickReturnYards,403
2019,New Mexico,Mountain West,rushingYards,2463
2019,Wyoming,Mountain West,games,13
2019,New Mexico,Mountain West,totalYards,4803
2019,Louisiana Tech,Conference USA,fourthDownConversions,6
2019,Washington State,Pac-12,totalYards,6564
2019,Temple,American Athletic,rushingYards,1784
2019,Temple,American Athletic,netPassingYards,3312
2019,New Mexico,Mountain West,puntReturnYards,147
2019,Mississippi State,SEC,puntReturnTDs,0
2019,BYU,FBS Independents,fourthDownConversions,7
2019,Texas State,Sun Belt,rushingTDs,8
2019,Washington State,Pac-12,passingTDs,50
2019,North Texas,Conference USA,fourthDowns,32
2019,Middle Tennessee,Conference USA,kickReturns,39
2019,Michigan State,Big Ten,puntReturnTDs,0
2019,Minnesota,Big Ten,fourthDownConversions,13
2019,Oklahoma,Big 12,turnovers,19
2019,Oregon,Pac-12,rushingYards,2448
2019,UCF,American Athletic,passingTDs,36
2019,Virginia Tech,ACC,passesIntercepted,14
2019,BYU,FBS Independents,possessionTime,23231
2019,Syracuse,ACC,netPassingYards,2887
2019,Nebraska,Big Ten,tacklesForLoss,127
2019,Bowling Green,Mid-American,totalYards,3829
2019,Memphis,American Athletic,possessionTime,25713
2019,Coastal Carolina,Sun Belt,firstDowns,267
2019,Buffalo,Mid-American,sacks,57
2019,South Carolina,SEC,netPassingYards,2667
2019,Tennessee,SEC,interceptionTDs,0
2019,Middle Tennessee,Conference USA,firstDowns,247
2019,New Mexico,Mountain West,fumblesRecovered,11
2019,Iowa State,Big 12,passAttempts,484
2019,Clemson,ACC,fumblesLost,5
2019,Florida State,ACC,firstDowns,265
2019,Bowling Green,Mid-American,puntReturns,18
2019,Ohio,Mid-American,penaltyYards,627
2019,Coastal Carolina,Sun Belt,rushingYards,2346
2019,Michigan State,Big Ten,fumblesRecovered,14
2019,Hawai'i,Mountain West,passAttempts,635
2019,Miami,ACC,netPassingYards,3239
2019,Western Michigan,Mid-American,passAttempts,413
2019,Iowa State,Big 12,penaltyYards,497
2019,Minnesota,Big Ten,thirdDownConversions,78
2019,Purdue,Big Ten,fourthDowns,16
2019,Houston,American Athletic,games,12
2019,Baylor,Big 12,games,14
2019,Minnesota,Big Ten,fourthDowns,20
2019,Charlotte,Conference USA,firstDowns,270
2019,San Diego State,Mountain West,interceptionYards,58
2019,Bowling Green,Mid-American,passAttempts,336
2019,Old Dominion,Conference USA,kickReturns,31
2019,Duke,ACC,fourthDowns,33
2019,Rutgers,Big Ten,interceptionTDs,0
2019,New Mexico,Mountain West,passCompletions,163
2019,San José State,Mountain West,penaltyYards,603
2019,Troy,Sun Belt,sacks,45
2019,Purdue,Big Ten,totalYards,4718
2019,North Texas,Conference USA,passAttempts,454
2019,Eastern Michigan,Mid-American,totalYards,5271
2019,UTEP,Conference USA,penalties,80
2019,Clemson,ACC,thirdDowns,181
2019,Rutgers,Big Ten,fourthDownConversions,6
2019,Kent State,Mid-American,firstDowns,283
2019,Texas State,Sun Belt,puntReturnTDs,0
2019,Louisiana,Sun Belt,games,14
2019,Fresno State,Mountain West,possessionTime,20927
2019,Tennessee,SEC,puntReturnTDs,3
2019,Coastal Carolina,Sun Belt,fourthDowns,29
2019,Pittsburgh,ACC,penalties,102
2019,Michigan State,Big Ten,fourthDowns,21
2019,Louisiana Monroe,Sun Belt,kickReturns,40
2019,Stanford,Pac-12,games,12
2019,Charlotte,Conference USA,fourthDowns,23
2019,Illinois,Big Ten,turnovers,18
2019,Virginia Tech,ACC,firstDowns,257
2019,Nebraska,Big Ten,passingTDs,12
